RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50111,Sydney,Hawkins,Robinson,,CD120111,License,Street Name111,Barangay Name111,San Carlos,District 111,Negros Occidental,Region 111,11/16/1994,San Juan Ilocos Sur,9271229684,F,FILIPINO,FARMER,FARMING,Maria Taylor,,
88-18-9862-50112,Victor,Johnson,Richardson,,CD120112,License,Street Name112,Barangay Name112,San Carlos,District 112,Pangasinan,Region 112,10/21/1998,San Juan Ilocos Sur,9271267945,M,FILIPINO,FARMER,FARMING,Maria Lloyd,,
88-18-9862-50113,Justin,Turner,Barnes,,CD120113,License,Street Name113,Barangay Name113,San Fernando,District 113,La Union,Region 113,11/11/1967,San Juan Ilocos Sur,9271230259,F,FILIPINO,FARMER,FARMING,Maria Robinson,,
88-18-9862-50114,Amy,Harrison,Russell,,CD120114,License,Street Name114,Barangay Name114,San Fernando,District 114,Pampanga,Region 114,12/28/1970,San Juan Ilocos Sur,9271250008,M,FILIPINO,FARMER,FARMING,Maria Richardson,,
88-18-9862-50115,Grace,Kelley,Samartino,,CD120115,License,Street Name115,Barangay Name115,San Jose,District 115,Nueva Ecija,Region 115,10/30/1993,San Juan Ilocos Sur,9271276507,F,FILIPINO,FARMER,FARMING,Maria Barnes,,
88-18-9862-50116,Adam,Montgomery,Davision,,CD120116,License,Street Name116,Barangay Name116,San Jose del Monte,District 116,Bulacan,Region 116,12/15/1973,San Juan Ilocos Sur,9271273074,M,FILIPINO,FARMER,FARMING,Maria Russell,,
88-18-9862-50117,Gianna,Mitchell,Ferrol,,CD120117,License,Street Name117,Barangay Name117,San Juan,District 117,Nueva Vizcaya,Region 117,11/15/1975,San Juan Ilocos Sur,9271254946,F,FILIPINO,FARMER,FARMING,Maria Samartino,,
88-18-9862-50118,Chester,Cooper,Campbell,,CD120118,License,Street Name118,Barangay Name118,San Pablo,District 118,Laguna,Region 118,12/22/1975,San Juan Ilocos Sur,9271269475,M,FILIPINO,FARMER,FARMING,Maria Davision,,
88-18-9862-50119,Carina,Carroll,Casey,,CD120119,License,Street Name119,Barangay Name119,San Pedro,District 119,Laguna,Region 119,12/19/1966,San Juan Ilocos Sur,9271266760,F,FILIPINO,FARMER,FARMING,Maria Ferrol,,
88-18-9862-50120,Fiona,Carroll,Wells,,CD120120,License,Street Name120,Barangay Name120,Santa Rosa,District 120,Laguna,Region 120,12/10/1998,San Juan Ilocos Sur,9271253296,M,FILIPINO,FARMER,FARMING,Maria Campbell,,
88-18-9862-50121,Gianna,Andrews,Nelson,,CD120121,License,Street Name121,Barangay Name121,Santo Tomas,District 121,Batangas,Region 121,10/20/1965,San Juan Ilocos Sur,9271276009,F,FILIPINO,FARMER,FARMING,Maria Casey,,
88-18-9862-50122,Madaline,Brown,Higgs,,CD120122,License,Street Name122,Barangay Name122,Santiago,District 122,Isabela,Region 122,11/25/1970,San Juan Ilocos Sur,9271220233,M,FILIPINO,FARMER,FARMING,Maria Wells,,
88-18-9862-50123,Brooke,Reed,Benga,,CD120123,License,Street Name123,Barangay Name123,Silay,District 123,Negros Occidental,Region 123,11/19/1984,San Juan Ilocos Sur,9271245899,F,FILIPINO,FARMER,FARMING,Maria Nelson,,
88-18-9862-50124,Aston,Gibson,Baligtad,,CD120124,License,Street Name124,Barangay Name124,Sipalay,District 124,Negros Occidental,Region 124,10/28/1995,San Juan Ilocos Sur,9271240873,M,FILIPINO,FARMER,FARMING,Maria Higgs,,
88-18-9862-50125,Brooke,Lloyd,Richards,,CD120125,License,Street Name125,Barangay Name125,Sorsogon City,District 125,Sorsogon,Region 125,12/13/1964,San Juan Ilocos Sur,9271239191,F,FILIPINO,FARMER,FARMING,Maria Benga,,
88-18-9862-50126,Alen,Farrell,Peru,,CD120126,License,Street Name126,Barangay Name126,Surigao City,District 126,Surigao del Norte,Region 126,10/14/1969,San Juan Ilocos Sur,9271212503,M,FILIPINO,FARMER,FARMING,Maria Baligtad,,
88-18-9862-50127,Valeria,Miller,Reyes,,CD120127,License,Street Name127,Barangay Name127,Tabaco,District 127,Albay,Region 127,11/10/1983,San Juan Ilocos Sur,9271294791,F,FILIPINO,FARMER,FARMING,Maria Richards,,
88-18-9862-50128,Amber,Douglas,Reason,,CD120128,License,Street Name128,Barangay Name128,Tabuk,District 128,Kalinga,Region 128,12/28/1982,San Juan Ilocos Sur,9271214410,M,FILIPINO,FARMER,FARMING,Maria Peru,,
88-18-9862-50129,John,Baker,Song,,CD120129,License,Street Name129,Barangay Name129,Tacloban,District 129,Leyte,Region 129,10/12/1999,San Juan Ilocos Sur,9271216446,F,FILIPINO,FARMER,FARMING,Maria Reyes,,
88-18-9862-50130,Kristian,Riley,Grant,,CD120130,License,Street Name130,Barangay Name130,Tacurong,District 130,Sultan Kudarat,Region 130,11/12/1964,San Juan Ilocos Sur,9271261736,M,FILIPINO,FARMER,FARMING,Maria Reason,,
88-18-9862-50131,Alexander,Ryan,Bisyo,,CD120131,License,Street Name131,Barangay Name131,Tagaytay,District 131,Cavite,Region 131,11/16/1981,San Juan Ilocos Sur,9271275216,F,FILIPINO,FARMER,FARMING,Maria Song,,
88-18-9862-50132,Daniel,Holmes,Pili,,CD120132,License,Street Name132,Barangay Name132,Tagbilaran,District 132,Bohol,Region 132,10/10/1987,San Juan Ilocos Sur,9271234805,M,FILIPINO,FARMER,FARMING,Maria Grant,,
88-18-9862-50133,Kelvin,Clark,Watson,,CD120133,License,Street Name133,Barangay Name133,Taguig,District 133,Nueva Vizcaya,Region 133,12/23/1969,San Juan Ilocos Sur,9271264574,F,FILIPINO,FARMER,FARMING,Maria Bisyo,,
88-18-9862-50134,Harold,Johnston,Doug,,CD120134,License,Street Name134,Barangay Name134,Tagum,District 134,Davao del Norte,Region 134,12/19/1996,San Juan Ilocos Sur,9271274010,M,FILIPINO,FARMER,FARMING,Maria Pili,,
88-18-9862-50135,Nicholas,Taylor,Brooks,,CD120135,License,Street Name135,Barangay Name135,Talisay,District 135,Cebu,Region 135,11/13/1981,San Juan Ilocos Sur,9271233271,F,FILIPINO,FARMER,FARMING,Maria Watson,,
88-18-9862-50136,Amber,Smith,Moore,,CD120136,License,Street Name136,Barangay Name136,Dasmari¤as,District 136,Tarlac,Region 136,10/11/1991,San Juan Ilocos Sur,9271263263,M,FILIPINO,FARMER,FARMING,Maria Doug,,
88-18-9862-50137,Elian,Anderson,Kelleng,,CD120137,License,Street Name137,Barangay Name137,Davao City,District 137,Davao del Sur,Region 137,12/10/1974,San Juan Ilocos Sur,9271253214,F,FILIPINO,FARMER,FARMING,Maria Brooks,,
88-18-9862-50138,Annabella,Jones,Henderson,,CD120138,License,Street Name138,Barangay Name138,Digos,District 138,Davao del Sur,Region 138,11/26/1966,San Juan Ilocos Sur,9271238555,M,FILIPINO,FARMER,FARMING,Maria Moore,,
88-18-9862-50139,Valeria,Allen,Andrews,,CD120139,License,Street Name139,Barangay Name139,Dipolog,District 139,Davao del Sur,Region 139,12/10/1963,San Juan Ilocos Sur,9271288829,F,FILIPINO,FARMER,FARMING,Maria Kelleng,,
88-18-9862-50140,Albert,Adams,Carter,,CD120140,License,Street Name140,Barangay Name140,Dumaguete,District 140,Negros Oriental,Region 140,10/24/1986,San Juan Ilocos Sur,9271249960,M,FILIPINO,FARMER,FARMING,Maria Henderson,,
88-18-9862-50141,Heather,Campbell,Herrer,,CD120141,License,Street Name141,Barangay Name141,El Salvador,District 141,Misamis Oriental,Region 141,10/26/1974,San Juan Ilocos Sur,9271289035,F,FILIPINO,FARMER,FARMING,Maria Andrews,,
88-18-9862-50142,Brooke,Stevens,Hallow,,CD120142,License,Street Name142,Barangay Name142,Escalante,District 142,Negros Occidental,Region 142,12/22/2000,San Juan Ilocos Sur,9271211389,M,FILIPINO,FARMER,FARMING,Maria Carter,,
88-18-9862-50143,Cherry,Perry,Hamilton,,CD120143,License,Street Name143,Barangay Name143,Gapan,District 143,Nueva Ecija,Region 143,11/23/1987,San Juan Ilocos Sur,9271271767,F,FILIPINO,FARMER,FARMING,Maria Herrer,,
88-18-9862-50144,Dale,Henderson,Warren,,CD120144,License,Street Name144,Barangay Name144,General Santos,District 144,South Cotabato,Region 144,10/18/1991,San Juan Ilocos Sur,9271234137,M,FILIPINO,FARMER,FARMING,Maria Hallow,,
88-18-9862-50145,Aida,Howard,Baning,,CD120145,License,Street Name145,Barangay Name145,General Trias,District 145,Cavite,Region 145,12/24/1960,San Juan Ilocos Sur,9271220579,F,FILIPINO,FARMER,FARMING,Maria Hamilton,,
88-18-9862-50146,Tara,Cooper,Murphy,,CD120146,License,Street Name146,Barangay Name146,Gingoog,District 146,Misamis Oriental,Region 146,11/16/1982,San Juan Ilocos Sur,9271248330,M,FILIPINO,FARMER,FARMING,Maria Warren,,
88-18-9862-50147,Arianna,Wright,Angelo,,CD120147,License,Street Name147,Barangay Name147,Guihulngan,District 147,Negros Oriental,Region 147,11/16/1994,San Juan Ilocos Sur,9271286841,F,FILIPINO,FARMER,FARMING,Maria Baning,,
88-18-9862-50148,Evelyn,Edwards,Wright,,CD120148,License,Street Name148,Barangay Name148,Himamaylan,District 148,Negros Occidental,Region 148,11/13/1999,San Juan Ilocos Sur,9271243921,M,FILIPINO,FARMER,FARMING,Maria Murphy,,
88-18-9862-50149,Oliver,Hunt,Stewart,,CD120149,License,Street Name149,Barangay Name149,Ilagan,District 149,Isabela,Region 149,10/25/1987,San Juan Ilocos Sur,9271233781,F,FILIPINO,FARMER,FARMING,Maria Angelo,,
88-18-9862-50150,Harold,Ferguson,Thomas,,CD120150,License,Street Name150,Barangay Name150,Iligan,District 150,Lanao del Norte,Region 150,10/21/1978,San Juan Ilocos Sur,9271270969,M,FILIPINO,FARMER,FARMING,Maria Wright,,
88-18-9862-50151,Heather,Davis,Tingga,,CD120151,License,Street Name151,Barangay Name151,Iloilo City,District 151,Iloilo,Region 151,11/18/1998,San Juan Ilocos Sur,9271214776,F,FILIPINO,FARMER,FARMING,Maria Stewart,,
88-18-9862-50152,Anna,West,Chap,,CD120152,License,Street Name152,Barangay Name152,Imus,District 152,Tarlac,Region 152,11/16/1998,San Juan Ilocos Sur,9271238227,M,FILIPINO,FARMER,FARMING,Maria Thomas,,
88-18-9862-50153,Alisa,Stevens,Gusion,,CD120153,License,Street Name153,Barangay Name153,Iriga,District 153,Camarines Sur,Region 153,12/11/1961,San Juan Ilocos Sur,9271299795,F,FILIPINO,FARMER,FARMING,Maria Tingga,,
88-18-9862-50154,Lilianna,Foster,Hanap,,CD120154,License,Street Name154,Barangay Name154,Isabela,District 154,Basilan,Region 154,10/15/1995,San Juan Ilocos Sur,9271285055,M,FILIPINO,FARMER,FARMING,Maria Chap,,
88-18-9862-50155,Jenna,Andrews,Ginto,,CD120155,License,Street Name155,Barangay Name155,Kabankalan,District 155,Negros Occidental,Region 155,11/23/1966,San Juan Ilocos Sur,9271256686,F,FILIPINO,FARMER,FARMING,Maria Gusion,,
88-18-9862-50156,Valeria,Turner,Scott,,CD120156,License,Street Name156,Barangay Name156,Kidapawan,District 156,Cotabato,Region 156,12/27/1994,San Juan Ilocos Sur,9271231036,M,FILIPINO,FARMER,FARMING,Maria Hanap,,
88-18-9862-50157,Stuart,Walker,Ganapan,,CD120157,License,Street Name157,Barangay Name157,Koronadal,District 157,South Cotabato,Region 157,12/24/1965,San Juan Ilocos Sur,9271217387,F,FILIPINO,FARMER,FARMING,Maria Ginto,,
88-18-9862-50158,Ryan,Harrison,Tucker,,CD120158,License,Street Name158,Barangay Name158,La Carlota,District 158,Negros Occidental,Region 158,10/17/1960,San Juan Ilocos Sur,9271263927,M,FILIPINO,FARMER,FARMING,Maria Scott,,
88-18-9862-50159,Kirsten,Crawford,Ferguson,,CD120159,License,Street Name159,Barangay Name159,Lamitan,District 159,Basilan,Region 159,10/24/1975,San Juan Ilocos Sur,9271266887,F,FILIPINO,FARMER,FARMING,Maria Ganapan,,
88-18-9862-50160,Alexia,Perkins,Myers,,CD120160,License,Street Name160,Barangay Name160,Laoag,District 160,Ilocos Norte,Region 160,11/26/1969,San Juan Ilocos Sur,9271216581,M,FILIPINO,FARMER,FARMING,Maria Tucker,,
88-18-9862-50161,Mike,Howard,Taylor,,CD120161,License,Street Name161,Barangay Name161,Lapu-Lapu City,District 161,Cebu,Region 161,11/14/1968,San Juan Ilocos Sur,9271216119,F,FILIPINO,FARMER,FARMING,Maria Ferguson,,
88-18-9862-50162,Cadie,Smith,Morgan,,CD120162,License,Street Name162,Barangay Name162,Las Pi¤as,District 162,Nueva Vizcaya,Region 162,10/18/1992,San Juan Ilocos Sur,9271288856,M,FILIPINO,FARMER,FARMING,Maria Myers,,
88-18-9862-50163,Daryl,Wright,Spencer,,CD120163,License,Street Name163,Barangay Name163,Legazpi,District 163,Albay,Region 163,10/30/1977,San Juan Ilocos Sur,9271290144,F,FILIPINO,FARMER,FARMING,Maria Taylor,,
88-18-9862-50164,Kelsey,Cole,Watson,,CD120164,License,Street Name164,Barangay Name164,Ligao,District 164,Albay,Region 164,11/18/1962,San Juan Ilocos Sur,9271292070,M,FILIPINO,FARMER,FARMING,Maria Morgan,,
88-18-9862-50165,Melanie,Clark,Anderson,,CD120165,License,Street Name165,Barangay Name165,Lipa,District 165,Batangas,Region 165,11/30/1999,San Juan Ilocos Sur,9271231875,F,FILIPINO,FARMER,FARMING,Maria Spencer,,
88-18-9862-50166,Miller,Hunt,Nelson,,CD120166,License,Street Name166,Barangay Name166,Lucena,District 166,Quezon,Region 166,12/12/1968,San Juan Ilocos Sur,9271283091,M,FILIPINO,FARMER,FARMING,Maria Watson,,
88-18-9862-50167,Paul,Cunningham,Armstrong,,CD120167,License,Street Name167,Barangay Name167,Maasin,District 167,Southern Leyte,Region 167,11/23/1965,San Juan Ilocos Sur,9271239357,F,FILIPINO,FARMER,FARMING,Maria Anderson,,
88-18-9862-50168,Lenny,Grant,Marison,,CD120168,License,Street Name168,Barangay Name168,Mabalacat,District 168,Pampanga,Region 168,10/23/1977,San Juan Ilocos Sur,9271250761,M,FILIPINO,FARMER,FARMING,Maria Nelson,,
88-18-9862-50169,Harold,Spencer,Carrolino,,CD120169,License,Street Name169,Barangay Name169,Makati,District 169,Occidental Mindoro,Region 169,11/13/1997,San Juan Ilocos Sur,9271230020,F,FILIPINO,FARMER,FARMING,Maria Armstrong,,
88-18-9862-50170,Fiona,West,Brown,,CD120170,License,Street Name170,Barangay Name170,Malabon,District 170,Occidental Mindoro,Region 170,12/19/1999,San Juan Ilocos Sur,9271269554,M,FILIPINO,FARMER,FARMING,Maria Marison,,
88-18-9862-50171,Alfred,Casey,Parker,,CD120171,License,Street Name171,Barangay Name171,Malaybalay,District 171,Bukidnon,Region 171,12/24/1980,San Juan Ilocos Sur,9271286586,F,FILIPINO,FARMER,FARMING,Maria Carrolino,,
88-18-9862-50172,Valeria,Edwards,Holmes,,CD120172,License,Street Name172,Barangay Name172,Malolos,District 172,Bulacan,Region 172,12/23/1991,San Juan Ilocos Sur,9271260034,M,FILIPINO,FARMER,FARMING,Maria Brown,,
88-18-9862-50173,Andrew,Davis,Payne,,CD120173,License,Street Name173,Barangay Name173,Mandaluyong,District 173,Occidental Mindoro,Region 173,10/15/1974,San Juan Ilocos Sur,9271285386,F,FILIPINO,FARMER,FARMING,Maria Parker,,
88-18-9862-50174,Maddie,Sullivan,Wells,,CD120174,License,Street Name174,Barangay Name174,Mandaue,District 174,Cebu,Region 174,10/10/1998,San Juan Ilocos Sur,9271269816,M,FILIPINO,FARMER,FARMING,Maria Holmes,,
88-18-9862-50175,Mike,Anderson,Gibbs,,CD120175,License,Street Name175,Barangay Name175,Manila,District 175,Tarlac,Region 175,10/25/1996,San Juan Ilocos Sur,9271273047,F,FILIPINO,FARMER,FARMING,Maria Payne,,
88-18-9862-50176,Antony,Holmes,Russell,,CD120176,License,Street Name176,Barangay Name176,Marawi,District 176,Zamboanga Sibugay,Region 176,11/20/1984,San Juan Ilocos Sur,9271291515,M,FILIPINO,FARMER,FARMING,Maria Wells,,
88-18-9862-50177,Kevin,Thomas,Macaraeg,,CD120177,License,Street Name177,Barangay Name177,Marikina,District 177,Zamboanga Sibugay,Region 177,11/21/1986,San Juan Ilocos Sur,9271247595,F,FILIPINO,FARMER,FARMING,Maria Gibbs,,
88-18-9862-50178,Lucas,Riley,Moore,,CD120178,License,Street Name178,Barangay Name178,Masbate City,District 178,Masbate,Region 178,12/28/1991,San Juan Ilocos Sur,9271277715,M,FILIPINO,FARMER,FARMING,Maria Russell,,
88-18-9862-50179,Charlotte,Riley,Murphy,,CD120179,License,Street Name179,Barangay Name179,Mati,District 179,Davao Oriental,Region 179,11/27/1964,San Juan Ilocos Sur,9271216976,F,FILIPINO,FARMER,FARMING,Maria Macaraeg,,
88-18-9862-50180,Vanessa,Moore,Tucker,,CD120180,License,Street Name180,Barangay Name180,Meycauayan,District 180,Bulacan,Region 180,12/20/1983,San Juan Ilocos Sur,9271256880,M,FILIPINO,FARMER,FARMING,Maria Moore,,
88-18-9862-50181,Ashton,Thompson,Lloyd,,CD120181,License,Street Name181,Barangay Name181,Mu¤oz,District 181,Nueva Ecija,Region 181,12/16/1981,San Juan Ilocos Sur,9271241128,F,FILIPINO,FARMER,FARMING,Maria Murphy,,
88-18-9862-50182,Lydia,Ellis,Davis,,CD120182,License,Street Name182,Barangay Name182,Muntinlupa,District 182,Occidental Mindoro,Region 182,11/27/1977,San Juan Ilocos Sur,9271251190,M,FILIPINO,FARMER,FARMING,Maria Tucker,,
88-18-9862-50183,Alan,Spencer,Morrison,,CD120183,License,Street Name183,Barangay Name183,Naga,District 183,Camarines Sur,Region 183,12/22/1988,San Juan Ilocos Sur,9271273355,F,FILIPINO,FARMER,FARMING,Maria Lloyd,,
88-18-9862-50184,Kevin,Mason,Craig,,CD120184,License,Street Name184,Barangay Name184,Naga,District 184,Cebu,Region 184,10/19/1991,San Juan Ilocos Sur,9271271509,M,FILIPINO,FARMER,FARMING,Maria Davis,,
88-18-9862-50185,Vivian,Richardson,Thompson,,CD120185,License,Street Name185,Barangay Name185,Navotas,District 185,Occidental Mindoro,Region 185,10/24/1976,San Juan Ilocos Sur,9271286397,F,FILIPINO,FARMER,FARMING,Maria Morrison,,
88-18-9862-50186,Rebecca,Stevens,Barrett,,CD120186,License,Street Name186,Barangay Name186,Olongapo,District 186,North Cotabato,Region 186,11/27/1969,San Juan Ilocos Sur,9271218854,M,FILIPINO,FARMER,FARMING,Maria Craig,,
88-18-9862-50187,John,Tucker,Allen,,CD120187,License,Street Name187,Barangay Name187,Ormoc,District 187,Leyte,Region 187,11/17/1969,San Juan Ilocos Sur,9271271128,F,FILIPINO,FARMER,FARMING,Maria Thompson,,
88-18-9862-50188,Daniel,Cooper,Barnes,,CD120188,License,Street Name188,Barangay Name188,Oroquieta,District 188,Misamis Occidental,Region 188,12/19/1982,San Juan Ilocos Sur,9271286306,M,FILIPINO,FARMER,FARMING,Maria Barrett,,
88-18-9862-50189,Sofia,Owens,Alexandres,,CD120189,License,Street Name189,Barangay Name189,Ozamiz,District 189,Misamis Occidental,Region 189,11/27/1978,San Juan Ilocos Sur,9271297354,F,FILIPINO,FARMER,FARMING,Maria Allen,,
88-18-9862-50190,Preston,Reed,Owens,,CD120190,License,Street Name190,Barangay Name190,Pagadian,District 190,Misamis Occidental,Region 190,10/30/1974,San Juan Ilocos Sur,9271255898,M,FILIPINO,FARMER,FARMING,Maria Barnes,,
88-18-9862-50191,Kelsey,Rogers,Gray,,CD120191,License,Street Name191,Barangay Name191,Palayan,District 191,Nueva Ecija,Region 191,10/15/1967,San Juan Ilocos Sur,9271296643,F,FILIPINO,FARMER,FARMING,Maria Alexandres,,
88-18-9862-50192,Sam,Andrews,Magano,,CD120192,License,Street Name192,Barangay Name192,Panabo,District 192,Davao del Norte,Region 192,10/11/1975,San Juan Ilocos Sur,9271260233,M,FILIPINO,FARMER,FARMING,Maria Owens,,
88-18-9862-50193,Maximilian,Montgomery,Richardson,,CD120193,License,Street Name193,Barangay Name193,Para¤aque,District 193,Occidental Mindoro,Region 193,10/24/2000,San Juan Ilocos Sur,9271229251,F,FILIPINO,FARMER,FARMING,Maria Gray,,
88-18-9862-50194,Savana,Tucker,Baron,,CD120194,License,Street Name194,Barangay Name194,Pasay,District 194,Occidental Mindoro,Region 194,11/20/1971,San Juan Ilocos Sur,9271289743,M,FILIPINO,FARMER,FARMING,Maria Magano,,
88-18-9862-50195,Jared,Robinson,Morrison,,CD120195,License,Street Name195,Barangay Name195,Pasig,District 195,Tarlac,Region 195,11/27/1992,San Juan Ilocos Sur,9271257456,F,FILIPINO,FARMER,FARMING,Maria Richardson,,
88-18-9862-50196,Daisy,Dixon,Joneng,,CD120196,License,Street Name196,Barangay Name196,Passi,District 196,Iloilo,Region 196,12/28/1984,San Juan Ilocos Sur,9271210341,M,FILIPINO,FARMER,FARMING,Maria Baron,,
88-18-9862-50197,Preston,Hamilton,Elliott,,CD120197,License,Street Name197,Barangay Name197,Puerto Princesa,District 197,Palawan,Region 197,11/13/1966,San Juan Ilocos Sur,9271253177,F,FILIPINO,FARMER,FARMING,Maria Morrison,,
88-18-9862-50198,Sofia,Johnston,Halaga,,CD120198,License,Street Name198,Barangay Name198,Quezon City,District 198,Tarlac,Region 198,12/29/1978,San Juan Ilocos Sur,9271233496,M,FILIPINO,FARMER,FARMING,Maria Joneng,,
88-18-9862-50199,Julian,Allen,Richards,,CD120199,License,Street Name199,Barangay Name199,Roxas,District 199,Tarlac,Region 199,11/10/1976,San Juan Ilocos Sur,9271244960,F,FILIPINO,FARMER,FARMING,Maria Elliott,,
88-18-9862-50200,Kelsey,Murray,Kelly,,CD120200,License,Street Name200,Barangay Name200,Sagay,District 200,Negros Occidental,Region 200,12/29/1960,San Juan Ilocos Sur,9271226448,M,FILIPINO,FARMER,FARMING,Maria Halaga,,
88-18-9862-50201,Aston,Carter,Obes,,CD120201,License,Street Name201,Barangay Name201,Samal,District 201,Tarlac,Region 201,12/14/1984,San Juan Ilocos Sur,9271285749,F,FILIPINO,FARMER,FARMING,Maria Richards,,
88-18-9862-50202,Samantha,Morgan,Myers,,CD120202,License,Street Name202,Barangay Name202,San Carlos,District 202,Negros Occidental,Region 202,10/24/1971,San Juan Ilocos Sur,9271236952,M,FILIPINO,FARMER,FARMING,Maria Kelly,,
88-18-9862-50203,Justin,Harper,Scott,,CD120203,License,Street Name203,Barangay Name203,San Carlos,District 203,Pangasinan,Region 203,10/14/1982,San Juan Ilocos Sur,9271275648,F,FILIPINO,FARMER,FARMING,Maria Obes,,
88-18-9862-50204,Roman,Hawkins,Edwards,,CD120204,License,Street Name204,Barangay Name204,San Fernando,District 204,La Union,Region 204,11/10/1971,San Juan Ilocos Sur,9271242100,M,FILIPINO,FARMER,FARMING,Maria Myers,,
88-18-9862-50205,Amanda,Harper,Thomas,,CD120205,License,Street Name205,Barangay Name205,San Fernando,District 205,Pampanga,Region 205,11/18/1974,San Juan Ilocos Sur,9271261988,F,FILIPINO,FARMER,FARMING,Maria Scott,,
88-18-9862-50206,Eric,Taylor,Moore,,CD120206,License,Street Name206,Barangay Name206,San Jose,District 206,Nueva Ecija,Region 206,10/29/1985,San Juan Ilocos Sur,9271216220,M,FILIPINO,FARMER,FARMING,Maria Edwards,,
88-18-9862-50207,Adele,Ferguson,Barrett,,CD120207,License,Street Name207,Barangay Name207,San Jose del Monte,District 207,Bulacan,Region 207,11/11/1992,San Juan Ilocos Sur,9271268887,F,FILIPINO,FARMER,FARMING,Maria Thomas,,
88-18-9862-50208,Kevin,Howard,Ken,,CD120208,License,Street Name208,Barangay Name208,San Juan,District 208,Occidental Mindoro,Region 208,10/20/1976,San Juan Ilocos Sur,9271272799,M,FILIPINO,FARMER,FARMING,Maria Moore,,
88-18-9862-50209,Jenna,Hamilton,Massanto,,CD120209,License,Street Name209,Barangay Name209,San Pablo,District 209,Laguna,Region 209,10/10/1986,San Juan Ilocos Sur,9271236905,F,FILIPINO,FARMER,FARMING,Maria Barrett,,
88-18-9862-50210,Valeria,Thompson,Morgan,,CD120210,License,Street Name210,Barangay Name210,San Pedro,District 210,Laguna,Region 210,11/24/1974,San Juan Ilocos Sur,9271297504,M,FILIPINO,FARMER,FARMING,Maria Ken,,
88-18-9862-50211,Ellia,Morris,Casey,,CD120211,License,Street Name211,Barangay Name211,Santa Rosa,District 211,Laguna,Region 211,10/23/1981,San Juan Ilocos Sur,9271279331,F,FILIPINO,FARMER,FARMING,Maria Massanto,,
88-18-9862-50212,Jordan,Cooper,Maginhawa,,CD120212,License,Street Name212,Barangay Name212,Santo Tomas,District 212,Batangas,Region 212,10/25/1965,San Juan Ilocos Sur,9271228768,M,FILIPINO,FARMER,FARMING,Maria Morgan,,
88-18-9862-50213,Michelle,Cooper,Williams,,CD120213,License,Street Name213,Barangay Name213,Santiago,District 213,Isabela,Region 213,10/28/1996,San Juan Ilocos Sur,9271286099,F,FILIPINO,FARMER,FARMING,Maria Casey,,
88-18-9862-50214,Byron,Anderson,Pagtakhan,,CD120214,License,Street Name214,Barangay Name214,Silay,District 214,Negros Occidental,Region 214,10/17/1961,San Juan Ilocos Sur,9271232992,M,FILIPINO,FARMER,FARMING,Maria Maginhawa,,
88-18-9862-50215,Michael,Turner,Bulakan,,CD120215,License,Street Name215,Barangay Name215,Sipalay,District 215,Negros Occidental,Region 215,12/13/1977,San Juan Ilocos Sur,9271246137,F,FILIPINO,FARMER,FARMING,Maria Williams,,
88-18-9862-50216,Henry,Parker,Rolinga,,CD120216,License,Street Name216,Barangay Name216,Sorsogon City,District 216,Sorsogon,Region 216,12/29/1991,San Juan Ilocos Sur,9271264976,M,FILIPINO,FARMER,FARMING,Maria Pagtakhan,,
88-18-9862-50217,Penelope,Alexander,West,,CD120217,License,Street Name217,Barangay Name217,Surigao City,District 217,Surigao del Norte,Region 217,12/11/1976,San Juan Ilocos Sur,9271219207,F,FILIPINO,FARMER,FARMING,Maria Bulakan,,
88-18-9862-50218,Andrew,Martin,Carter,,CD120218,License,Street Name218,Barangay Name218,Tabaco,District 218,Albay,Region 218,12/20/1999,San Juan Ilocos Sur,9271220019,M,FILIPINO,FARMER,FARMING,Maria Rolinga,,
88-18-9862-50219,Roland,Chapman,Banga,,CD120219,License,Street Name219,Barangay Name219,Tabuk,District 219,Tarlac,Region 219,10/21/1967,San Juan Ilocos Sur,9271267558,F,FILIPINO,FARMER,FARMING,Maria West,,
88-18-9862-50220,Jared,Hunt,Russell,,CD120220,License,Street Name220,Barangay Name220,Tacloban,District 220,Leyte,Region 220,11/30/1960,San Juan Ilocos Sur,9271211658,M,FILIPINO,FARMER,FARMING,Maria Carter,,
88-18-9862-50221,James,Cunningham,Roberts,,CD120221,License,Street Name221,Barangay Name221,Tacurong,District 221,Sultan Kudarat,Region 221,12/30/1987,San Juan Ilocos Sur,9271243229,F,FILIPINO,FARMER,FARMING,Maria Banga,,
88-18-9862-50222,Oscar,Smith,Clarkson,,CD120222,License,Street Name222,Barangay Name222,Tagaytay,District 222,Cavite,Region 222,10/21/1973,San Juan Ilocos Sur,9271249352,M,FILIPINO,FARMER,FARMING,Maria Russell,,
