RSBSA REFERENCE NUMBER,FIRSTNAME,MIDDLENAME,LASTNAME,EXTENSIONNAME,IDNUMBER,GOVTIDTYPE,STREETNO_PUROKNO,BARANGAY,CITYMUNICIPALITY,DISTRICT,PROVINCE,REGION,BIRTHDATE(YYYY-MM-DD),PLACEOFBIRTH,MOBILENO,SEX,NATIONALITY,PROFESSION,SOURCEOFFUNDS,MOTHERMAIDENNAME,# OF FARM PARCEL,TOTAL FARM AREA (Ha)
88-18-9862-50117,Gianna,Mitchell,Ferrol,,CD120117,License,Street Name117,Barangay Name117,San Juan,District 117,Nueva Vizcaya,Region 117,1975-11-15,San Juan Ilocos Sur,09271254946,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50118,Chester,Cooper,Campbell,,CD120118,License,Street Name118,Barangay Name118,San Pablo,District 118,Laguna,Region 118,1975-12-22,San Juan Ilocos Sur,09271269475,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50119,Carina,Carroll,Casey,,CD120119,License,Street Name119,Barangay Name119,San Pedro,District 119,Laguna,Region 119,1966-12-19,San Juan Ilocos Sur,09271266760,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50120,Fiona,Carroll,Wells,,CD120120,License,Street Name120,Barangay Name120,Santa Rosa,District 120,Laguna,Region 120,1998-12-10,San Juan Ilocos Sur,09271253296,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50121,Gianna,Andrews,Nelson,,CD120121,License,Street Name121,Barangay Name121,Santo Tomas,District 121,Batangas,Region 121,1965-10-20,San Juan Ilocos Sur,09271276009,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50122,Madaline,Brown,Higgs,,CD120122,License,Street Name122,Barangay Name122,Santiago,District 122,Isabela,Region 122,1970-11-25,San Juan Ilocos Sur,09271220233,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50123,Brooke,Reed,Benga,,CD120123,License,Street Name123,Barangay Name123,Silay,District 123,Negros Occidental,Region 123,1984-11-19,San Juan Ilocos Sur,09271245899,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50124,Aston,Gibson,Baligtad,,CD120124,License,Street Name124,Barangay Name124,Sipalay,District 124,Negros Occidental,Region 124,1995-10-28,San Juan Ilocos Sur,09271240873,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50125,Brooke,Lloyd,Richards,,CD120125,License,Street Name125,Barangay Name125,Sorsogon City,District 125,Sorsogon,Region 125,1964-12-13,San Juan Ilocos Sur,09271239191,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50126,Alen,Farrell,Peru,,CD120126,License,Street Name126,Barangay Name126,Surigao City,District 126,Surigao del Norte,Region 126,1969-10-14,San Juan Ilocos Sur,09271212503,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50127,Valeria,Miller,Reyes,,CD120127,License,Street Name127,Barangay Name127,Tabaco,District 127,Albay,Region 127,1983-11-10,San Juan Ilocos Sur,09271294791,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50128,Amber,Douglas,Reason,,CD120128,License,Street Name128,Barangay Name128,Tabuk,District 128,Kalinga,Region 128,1982-12-28,San Juan Ilocos Sur,09271214410,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50129,John,Baker,Song,,CD120129,License,Street Name129,Barangay Name129,Tacloban,District 129,Leyte,Region 129,1999-10-12,San Juan Ilocos Sur,09271216446,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50130,Kristian,Riley,Grant,,CD120130,License,Street Name130,Barangay Name130,Tacurong,District 130,Sultan Kudarat,Region 130,1964-11-12,San Juan Ilocos Sur,09271261736,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50131,Alexander,Ryan,Bisyo,,CD120131,License,Street Name131,Barangay Name131,Tagaytay,District 131,Cavite,Region 131,1981-11-16,San Juan Ilocos Sur,09271275216,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50132,Daniel,Holmes,Pili,,CD120132,License,Street Name132,Barangay Name132,Tagbilaran,District 132,Bohol,Region 132,1987-10-10,San Juan Ilocos Sur,09271234805,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50133,Kelvin,Clark,Watson,,CD120133,License,Street Name133,Barangay Name133,Taguig,District 133,Nueva Vizcaya,Region 133,1969-12-23,San Juan Ilocos Sur,09271264574,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50134,Harold,Johnston,Doug,,CD120134,License,Street Name134,Barangay Name134,Tagum,District 134,Davao del Norte,Region 134,1996-12-19,San Juan Ilocos Sur,09271274010,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50135,Nicholas,Taylor,Brooks,,CD120135,License,Street Name135,Barangay Name135,Talisay,District 135,Cebu,Region 135,1981-11-13,San Juan Ilocos Sur,09271233271,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50136,Amber,Smith,Moore,,CD120136,License,Street Name136,Barangay Name136,Dasmari¤as,District 136,Tarlac,Region 136,1991-10-11,San Juan Ilocos Sur,09271263263,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50137,Elian,Anderson,Kelleng,,CD120137,License,Street Name137,Barangay Name137,Davao City,District 137,Davao del Sur,Region 137,1974-12-10,San Juan Ilocos Sur,09271253214,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50138,Annabella,Jones,Henderson,,CD120138,License,Street Name138,Barangay Name138,Digos,District 138,Davao del Sur,Region 138,1966-11-26,San Juan Ilocos Sur,09271238555,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50139,Valeria,Allen,Andrews,,CD120139,License,Street Name139,Barangay Name139,Dipolog,District 139,Davao del Sur,Region 139,1963-12-10,San Juan Ilocos Sur,09271288829,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50140,Albert,Adams,Carter,,CD120140,License,Street Name140,Barangay Name140,Dumaguete,District 140,Negros Oriental,Region 140,1986-10-24,San Juan Ilocos Sur,09271249960,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50141,Heather,Campbell,Herrer,,CD120141,License,Street Name141,Barangay Name141,El Salvador,District 141,Misamis Oriental,Region 141,1974-10-26,San Juan Ilocos Sur,09271289035,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50142,Brooke,Stevens,Hallow,,CD120142,License,Street Name142,Barangay Name142,Escalante,District 142,Negros Occidental,Region 142,2000-12-22,San Juan Ilocos Sur,09271211389,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50143,Cherry,Perry,Hamilton,,CD120143,License,Street Name143,Barangay Name143,Gapan,District 143,Nueva Ecija,Region 143,1987-11-23,San Juan Ilocos Sur,09271271767,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50144,Dale,Henderson,Warren,,CD120144,License,Street Name144,Barangay Name144,General Santos,District 144,South Cotabato,Region 144,1991-10-18,San Juan Ilocos Sur,09271234137,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50145,Aida,Howard,Baning,,CD120145,License,Street Name145,Barangay Name145,General Trias,District 145,Cavite,Region 145,1960-12-24,San Juan Ilocos Sur,09271220579,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50146,Tara,Cooper,Murphy,,CD120146,License,Street Name146,Barangay Name146,Gingoog,District 146,Misamis Oriental,Region 146,1982-11-16,San Juan Ilocos Sur,09271248330,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50147,Arianna,Wright,Angelo,,CD120147,License,Street Name147,Barangay Name147,Guihulngan,District 147,Negros Oriental,Region 147,1994-11-16,San Juan Ilocos Sur,09271286841,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50148,Evelyn,Edwards,Wright,,CD120148,License,Street Name148,Barangay Name148,Himamaylan,District 148,Negros Occidental,Region 148,1999-11-13,San Juan Ilocos Sur,09271243921,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50149,Oliver,Hunt,Stewart,,CD120149,License,Street Name149,Barangay Name149,Ilagan,District 149,Isabela,Region 149,1987-10-25,San Juan Ilocos Sur,09271233781,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50150,Harold,Ferguson,Thomas,,CD120150,License,Street Name150,Barangay Name150,Iligan,District 150,Lanao del Norte,Region 150,1978-10-21,San Juan Ilocos Sur,09271270969,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50151,Heather,Davis,Tingga,,CD120151,License,Street Name151,Barangay Name151,Iloilo City,District 151,Iloilo,Region 151,1998-11-18,San Juan Ilocos Sur,09271214776,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50152,Anna,West,Chap,,CD120152,License,Street Name152,Barangay Name152,Imus,District 152,Tarlac,Region 152,1998-11-16,San Juan Ilocos Sur,09271238227,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50153,Alisa,Stevens,Gusion,,CD120153,License,Street Name153,Barangay Name153,Iriga,District 153,Camarines Sur,Region 153,1961-12-11,San Juan Ilocos Sur,09271299795,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50154,Lilianna,Foster,Hanap,,CD120154,License,Street Name154,Barangay Name154,Isabela,District 154,Basilan,Region 154,1995-10-15,San Juan Ilocos Sur,09271285055,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50155,Jenna,Andrews,Ginto,,CD120155,License,Street Name155,Barangay Name155,Kabankalan,District 155,Negros Occidental,Region 155,1966-11-23,San Juan Ilocos Sur,09271256686,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50156,Valeria,Turner,Scott,,CD120156,License,Street Name156,Barangay Name156,Kidapawan,District 156,Cotabato,Region 156,1994-12-27,San Juan Ilocos Sur,09271231036,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50157,Stuart,Walker,Ganapan,,CD120157,License,Street Name157,Barangay Name157,Koronadal,District 157,South Cotabato,Region 157,1965-12-24,San Juan Ilocos Sur,09271217387,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50158,Ryan,Harrison,Tucker,,CD120158,License,Street Name158,Barangay Name158,La Carlota,District 158,Negros Occidental,Region 158,1960-10-17,San Juan Ilocos Sur,09271263927,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50159,Kirsten,Crawford,Ferguson,,CD120159,License,Street Name159,Barangay Name159,Lamitan,District 159,Basilan,Region 159,1975-10-24,San Juan Ilocos Sur,09271266887,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50160,Alexia,Perkins,Myers,,CD120160,License,Street Name160,Barangay Name160,Laoag,District 160,Ilocos Norte,Region 160,1969-11-26,San Juan Ilocos Sur,09271216581,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50161,Mike,Howard,Taylor,,CD120161,License,Street Name161,Barangay Name161,Lapu-Lapu City,District 161,Cebu,Region 161,1968-11-14,San Juan Ilocos Sur,09271216119,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50162,Cadie,Smith,Morgan,,CD120162,License,Street Name162,Barangay Name162,Las Pi¤as,District 162,Nueva Vizcaya,Region 162,1992-10-18,San Juan Ilocos Sur,09271288856,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50163,Daryl,Wright,Spencer,,CD120163,License,Street Name163,Barangay Name163,Legazpi,District 163,Albay,Region 163,1977-10-30,San Juan Ilocos Sur,09271290144,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50164,Kelsey,Cole,Watson,,CD120164,License,Street Name164,Barangay Name164,Ligao,District 164,Albay,Region 164,1962-11-18,San Juan Ilocos Sur,09271292070,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50165,Melanie,Clark,Anderson,,CD120165,License,Street Name165,Barangay Name165,Lipa,District 165,Batangas,Region 165,1999-11-30,San Juan Ilocos Sur,09271231875,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50166,Miller,Hunt,Nelson,,CD120166,License,Street Name166,Barangay Name166,Lucena,District 166,Quezon,Region 166,1968-12-12,San Juan Ilocos Sur,09271283091,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50167,Paul,Cunningham,Armstrong,,CD120167,License,Street Name167,Barangay Name167,Maasin,District 167,Southern Leyte,Region 167,1965-11-23,San Juan Ilocos Sur,09271239357,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50168,Lenny,Grant,Marison,,CD120168,License,Street Name168,Barangay Name168,Mabalacat,District 168,Pampanga,Region 168,1977-10-23,San Juan Ilocos Sur,09271250761,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50169,Harold,Spencer,Carrolino,,CD120169,License,Street Name169,Barangay Name169,Makati,District 169,Occidental Mindoro,Region 169,1997-11-13,San Juan Ilocos Sur,09271230020,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50170,Fiona,West,Brown,,CD120170,License,Street Name170,Barangay Name170,Malabon,District 170,Occidental Mindoro,Region 170,1999-12-19,San Juan Ilocos Sur,09271269554,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50171,Alfred,Casey,Parker,,CD120171,License,Street Name171,Barangay Name171,Malaybalay,District 171,Bukidnon,Region 171,1980-12-24,San Juan Ilocos Sur,09271286586,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50172,Valeria,Edwards,Holmes,,CD120172,License,Street Name172,Barangay Name172,Malolos,District 172,Bulacan,Region 172,1991-12-23,San Juan Ilocos Sur,09271260034,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50173,Andrew,Davis,Payne,,CD120173,License,Street Name173,Barangay Name173,Mandaluyong,District 173,Occidental Mindoro,Region 173,1974-10-15,San Juan Ilocos Sur,09271285386,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50174,Maddie,Sullivan,Wells,,CD120174,License,Street Name174,Barangay Name174,Mandaue,District 174,Cebu,Region 174,1998-10-10,San Juan Ilocos Sur,09271269816,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50175,Mike,Anderson,Gibbs,,CD120175,License,Street Name175,Barangay Name175,Manila,District 175,Tarlac,Region 175,1996-10-25,San Juan Ilocos Sur,09271273047,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50176,Antony,Holmes,Russell,,CD120176,License,Street Name176,Barangay Name176,Marawi,District 176,Zamboanga Sibugay,Region 176,1984-11-20,San Juan Ilocos Sur,09271291515,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50177,Kevin,Thomas,Macaraeg,,CD120177,License,Street Name177,Barangay Name177,Marikina,District 177,Zamboanga Sibugay,Region 177,1986-11-21,San Juan Ilocos Sur,09271247595,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50178,Lucas,Riley,Moore,,CD120178,License,Street Name178,Barangay Name178,Masbate City,District 178,Masbate,Region 178,1991-12-28,San Juan Ilocos Sur,09271277715,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50179,Charlotte,Riley,Murphy,,CD120179,License,Street Name179,Barangay Name179,Mati,District 179,Davao Oriental,Region 179,1964-11-27,San Juan Ilocos Sur,09271216976,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50180,Vanessa,Moore,Tucker,,CD120180,License,Street Name180,Barangay Name180,Meycauayan,District 180,Bulacan,Region 180,1983-12-20,San Juan Ilocos Sur,09271256880,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50181,Ashton,Thompson,Lloyd,,CD120181,License,Street Name181,Barangay Name181,Mu¤oz,District 181,Nueva Ecija,Region 181,1981-12-16,San Juan Ilocos Sur,09271241128,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50182,Lydia,Ellis,Davis,,CD120182,License,Street Name182,Barangay Name182,Muntinlupa,District 182,Occidental Mindoro,Region 182,1977-11-27,San Juan Ilocos Sur,09271251190,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50183,Alan,Spencer,Morrison,,CD120183,License,Street Name183,Barangay Name183,Naga,District 183,Camarines Sur,Region 183,1988-12-22,San Juan Ilocos Sur,09271273355,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50184,Kevin,Mason,Craig,,CD120184,License,Street Name184,Barangay Name184,Naga,District 184,Cebu,Region 184,1991-10-19,San Juan Ilocos Sur,09271271509,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50185,Vivian,Richardson,Thompson,,CD120185,License,Street Name185,Barangay Name185,Navotas,District 185,Occidental Mindoro,Region 185,1976-10-24,San Juan Ilocos Sur,09271286397,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50186,Rebecca,Stevens,Barrett,,CD120186,License,Street Name186,Barangay Name186,Olongapo,District 186,North Cotabato,Region 186,1969-11-27,San Juan Ilocos Sur,09271218854,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50187,John,Tucker,Allen,,CD120187,License,Street Name187,Barangay Name187,Ormoc,District 187,Leyte,Region 187,1969-11-17,San Juan Ilocos Sur,09271271128,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50188,Daniel,Cooper,Barnes,,CD120188,License,Street Name188,Barangay Name188,Oroquieta,District 188,Misamis Occidental,Region 188,1982-12-19,San Juan Ilocos Sur,09271286306,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50189,Sofia,Owens,Alexandres,,CD120189,License,Street Name189,Barangay Name189,Ozamiz,District 189,Misamis Occidental,Region 189,1978-11-27,San Juan Ilocos Sur,09271297354,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50190,Preston,Reed,Owens,,CD120190,License,Street Name190,Barangay Name190,Pagadian,District 190,Misamis Occidental,Region 190,1974-10-30,San Juan Ilocos Sur,09271255898,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50191,Kelsey,Rogers,Gray,,CD120191,License,Street Name191,Barangay Name191,Palayan,District 191,Nueva Ecija,Region 191,1967-10-15,San Juan Ilocos Sur,09271296643,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50192,Sam,Andrews,Magano,,CD120192,License,Street Name192,Barangay Name192,Panabo,District 192,Davao del Norte,Region 192,1975-10-11,San Juan Ilocos Sur,09271260233,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50193,Maximilian,Montgomery,Richardson,,CD120193,License,Street Name193,Barangay Name193,Para¤aque,District 193,Occidental Mindoro,Region 193,2000-10-24,San Juan Ilocos Sur,09271229251,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50194,Savana,Tucker,Baron,,CD120194,License,Street Name194,Barangay Name194,Pasay,District 194,Occidental Mindoro,Region 194,1971-11-20,San Juan Ilocos Sur,09271289743,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50195,Jared,Robinson,Morrison,,CD120195,License,Street Name195,Barangay Name195,Pasig,District 195,Tarlac,Region 195,1992-11-27,San Juan Ilocos Sur,09271257456,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50196,Daisy,Dixon,Joneng,,CD120196,License,Street Name196,Barangay Name196,Passi,District 196,Iloilo,Region 196,1984-12-28,San Juan Ilocos Sur,09271210341,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50197,Preston,Hamilton,Elliott,,CD120197,License,Street Name197,Barangay Name197,Puerto Princesa,District 197,Palawan,Region 197,1966-11-13,San Juan Ilocos Sur,09271253177,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50198,Sofia,Johnston,Halaga,,CD120198,License,Street Name198,Barangay Name198,Quezon City,District 198,Tarlac,Region 198,1978-12-29,San Juan Ilocos Sur,09271233496,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50199,Julian,Allen,Richards,,CD120199,License,Street Name199,Barangay Name199,Roxas,District 199,Tarlac,Region 199,1976-11-10,San Juan Ilocos Sur,09271244960,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50200,Kelsey,Murray,Kelly,,CD120200,License,Street Name200,Barangay Name200,Sagay,District 200,Negros Occidental,Region 200,1960-12-29,San Juan Ilocos Sur,09271226448,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50201,Aston,Carter,Obes,,CD120201,License,Street Name201,Barangay Name201,Samal,District 201,Tarlac,Region 201,1984-12-14,San Juan Ilocos Sur,09271285749,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50202,Samantha,Morgan,Myers,,CD120202,License,Street Name202,Barangay Name202,San Carlos,District 202,Negros Occidental,Region 202,1971-10-24,San Juan Ilocos Sur,09271236952,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50203,Justin,Harper,Scott,,CD120203,License,Street Name203,Barangay Name203,San Carlos,District 203,Pangasinan,Region 203,1982-10-14,San Juan Ilocos Sur,09271275648,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50204,Roman,Hawkins,Edwards,,CD120204,License,Street Name204,Barangay Name204,San Fernando,District 204,La Union,Region 204,1971-11-10,San Juan Ilocos Sur,09271242100,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50205,Amanda,Harper,Thomas,,CD120205,License,Street Name205,Barangay Name205,San Fernando,District 205,Pampanga,Region 205,1974-11-18,San Juan Ilocos Sur,09271261988,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50206,Eric,Taylor,Moore,,CD120206,License,Street Name206,Barangay Name206,San Jose,District 206,Nueva Ecija,Region 206,1985-10-29,San Juan Ilocos Sur,09271216220,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50207,Adele,Ferguson,Barrett,,CD120207,License,Street Name207,Barangay Name207,San Jose del Monte,District 207,Bulacan,Region 207,1992-11-11,San Juan Ilocos Sur,09271268887,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50208,Kevin,Howard,Ken,,CD120208,License,Street Name208,Barangay Name208,San Juan,District 208,Occidental Mindoro,Region 208,1976-10-20,San Juan Ilocos Sur,09271272799,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50209,Jenna,Hamilton,Massanto,,CD120209,License,Street Name209,Barangay Name209,San Pablo,District 209,Laguna,Region 209,1986-10-10,San Juan Ilocos Sur,09271236905,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50210,Valeria,Thompson,Morgan,,CD120210,License,Street Name210,Barangay Name210,San Pedro,District 210,Laguna,Region 210,1974-11-24,San Juan Ilocos Sur,09271297504,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50211,Ellia,Morris,Casey,,CD120211,License,Street Name211,Barangay Name211,Santa Rosa,District 211,Laguna,Region 211,1981-10-23,San Juan Ilocos Sur,09271279331,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50212,Jordan,Cooper,Maginhawa,,CD120212,License,Street Name212,Barangay Name212,Santo Tomas,District 212,Batangas,Region 212,1965-10-25,San Juan Ilocos Sur,09271228768,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50213,Michelle,Cooper,Williams,,CD120213,License,Street Name213,Barangay Name213,Santiago,District 213,Isabela,Region 213,1996-10-28,San Juan Ilocos Sur,09271286099,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50214,Byron,Anderson,Pagtakhan,,CD120214,License,Street Name214,Barangay Name214,Silay,District 214,Negros Occidental,Region 214,1961-10-17,San Juan Ilocos Sur,09271232992,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50215,Michael,Turner,Bulakan,,CD120215,License,Street Name215,Barangay Name215,Sipalay,District 215,Negros Occidental,Region 215,1977-12-13,San Juan Ilocos Sur,09271246137,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50216,Henry,Parker,Rolinga,,CD120216,License,Street Name216,Barangay Name216,Sorsogon City,District 216,Sorsogon,Region 216,1991-12-29,San Juan Ilocos Sur,09271264976,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50217,Penelope,Alexander,West,,CD120217,License,Street Name217,Barangay Name217,Surigao City,District 217,Surigao del Norte,Region 217,1976-12-11,San Juan Ilocos Sur,09271219207,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50218,Andrew,Martin,Carter,,CD120218,License,Street Name218,Barangay Name218,Tabaco,District 218,Albay,Region 218,1999-12-20,San Juan Ilocos Sur,09271220019,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50219,Roland,Chapman,Banga,,CD120219,License,Street Name219,Barangay Name219,Tabuk,District 219,Tarlac,Region 219,1967-10-21,San Juan Ilocos Sur,09271267558,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50220,Jared,Hunt,Russell,,CD120220,License,Street Name220,Barangay Name220,Tacloban,District 220,Leyte,Region 220,1960-11-30,San Juan Ilocos Sur,09271211658,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50221,James,Cunningham,Roberts,,CD120221,License,Street Name221,Barangay Name221,Tacurong,District 221,Sultan Kudarat,Region 221,1987-12-30,San Juan Ilocos Sur,09271243229,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50222,Oscar,Smith,Clarkson,,CD120222,License,Street Name222,Barangay Name222,Tagaytay,District 222,Cavite,Region 222,1973-10-21,San Juan Ilocos Sur,09271249352,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50223,Byron,Wilson,Hall,,CD120223,License,Street Name223,Barangay Name223,Tagbilaran,District 223,Bohol,Region 223,1976-12-20,San Juan Ilocos Sur,09271266782,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50224,Lenny,Jones,Turner,,CD120224,License,Street Name224,Barangay Name224,Taguig,District 224,Occidental Mindoro,Region 224,1963-12-13,San Juan Ilocos Sur,09271222461,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50225,Sophia,Carroll,Kalang,,CD120225,License,Street Name225,Barangay Name225,Tagum,District 225,Davao del Norte,Region 225,1982-11-13,San Juan Ilocos Sur,09271221763,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50226,Haris,Parker,Cameron,,CD120226,License,Street Name226,Barangay Name226,Talisay,District 226,Cebu,Region 226,1991-10-11,San Juan Ilocos Sur,09271266440,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50227,Ned,West,Scott,,CD120227,License,Street Name227,Barangay Name227,Dasmari¤as,District 227,Cavite,Region 227,1960-10-14,San Juan Ilocos Sur,09271238868,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50228,Roland,Moore,Payne,,CD120228,License,Street Name228,Barangay Name228,Davao City,District 228,Tarlac,Region 228,1999-11-19,San Juan Ilocos Sur,09271296782,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50229,Martin,Payne,Ross,,CD120229,License,Street Name229,Barangay Name229,Digos,District 229,Tarlac,Region 229,1970-12-14,San Juan Ilocos Sur,09271287546,Single,FILIPINO,FARMER,FARMING,,,
88-18-9862-50230,Olivia,Howard,Turner,,CD120230,License,Street Name230,Barangay Name230,Dipolog,District 230,Davao del Sur,Region 230,1996-11-10,San Juan Ilocos Sur,09271233558,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50231,Emily,Morrison,Harrison,,CD120231,License,Street Name231,Barangay Name231,Dumaguete,District 231,Negros Oriental,Region 231,1977-11-16,San Juan Ilocos Sur,09271288278,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50232,Charlie,Ferguson,Santos,,CD120232,License,Street Name232,Barangay Name232,El Salvador,District 232,Misamis Oriental,Region 232,1966-12-25,San Juan Ilocos Sur,09271220817,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50233,Vincent,Thompson,Sullivan,,CD120233,License,Street Name233,Barangay Name233,Escalante,District 233,Tarlac,Region 233,1984-10-10,San Juan Ilocos Sur,09271269842,Married,FILIPINO,FARMER,FARMING,,,
88-18-9862-50234,Thomas,Cunningham,Aldaves,,CD120234,License,Street Name234,Barangay Name234,Gapan,District 234,Tarlac,Region 234,1994-11-23,San Juan Ilocos Sur,09271272356,Single,FILIPINO,FARMER,FARMING,,,
